,Order_ID,Product_ID,Product_Category,Product_Name,Region,City,Supplier_ID,Supplier_Lead_Time_Days,Warehouse_ID,Current_Inventory,Previous_Day_Sales,Previous_7_Days_Sales,Previous_30_Days_Sales,Average_Daily_Sales,Unit_Price,Discount_Percentage,Promotion,Holiday,Season,Weather,Competitor_Price,Stockout_Days,Delivery_Delay_Days,Transportation_Cost,Customer_Return_Rate,Demand_Quantity,Order_Year,Order_Month,Order_Day,Order_DayOfWeek
57,ORD100057,P-CLO-010,Clothing,Cotton Saree,East,Ranchi,SUP-017,9.0,WH-EA-04,278.0,19.0,124.0,651.0,19.52,479.38,3.1,No,No,Summer,Sunny,459.18,0.0,20.0,433.55,0.186,20,2021,3,30,1
58,ORD100058,P-ELE-005,Electronics,Laptop Stand,East,Patna,SUP-010,5.0,WH-EA-04,142.0,11.0,53.0,212.0,7.14,1825.61,26.6,Yes,No,Summer,Cloudy,1892.62,0.0,0.0,251.21,0.044,12,2023,6,22,3
59,ORD100059,P-ELE-009,Electronics,Smartphone Charger,North,Jaipur,SUP-015,12.0,WH-NO-02,116.0,4.0,46.0,173.0,7.6,12998.6,12.3,No,Yes,Autumn,Sunny,11800.48,0.0,2.0,477.06,0.026,8,2021,10,24,6
60,ORD100060,P-FUR-006,Furniture,Dining Chair,North,Chandigarh,SUP-030,27.0,WH-NO-05,206.0,10.0,48.0,241.0,8.31,12584.77,3.9,No,Yes,Autumn,Cloudy,13466.67,0.0,1.0,496.89,0.138,9,2022,8,18,3
61,ORD100061,P-CLO-014,Clothing,Women's Kurti,North,Chandigarh,SUP-028,6.0,WH-NO-01,449.0,20.0,134.0,650.0,20.85,1893.17,11.1,No,No,Winter,Sunny,1922.85,0.0,1.0,329.39,,27,2024,1,29,0
62,ORD100062,P-CLO-013,Clothing,Kids Winter Jacket,South,Chennai,SUP-001,2.0,WH-SO-05,501.0,21.0,137.0,705.0,20.48,2303.3,4.8,,No,Summer,Sunny,2302.62,0.0,0.0,277.88,0.051,25,2021,6,16,2
63,ORD100063,P-BEA-008,Beauty,Sunscreen Lotion,North,Jaipur,SUP-031,6.0,WH-NO-03,153.0,37.0,201.0,764.0,29.8,575.36,19.1,No,,Winter,Stormy,588.0,0.0,,381.76,0.052,26,2024,1,8,0
64,ORD100064,P-FUR-011,Furniture,Office Chair,Central,Jabalpur,SUP-008,5.0,WH-CE-02,,6.0,35.0,177.0,5.21,7504.1,,No,No,Winter,Rainy,7492.0,0.0,2.0,382.61,,5,2022,1,15,5
65,ORD100065,P-CLO-003,Clothing,Formal Shirt,East,Guwahati,SUP-008,9.0,WH-EA-04,727.0,37.0,225.0,991.0,30.82,1646.71,13.3,Yes,No,Winter,Cloudy,1704.88,1.0,0.0,366.63,0.051,66,2024,1,7,6
66,ORD100066,P-CLO-015,Clothing,Men's Cotton T-Shirt,East,Ranchi,SUP-022,7.0,WH-EA-03,314.0,22.0,183.0,838.0,29.24,2340.98,5.5,,Yes,Winter,Cloudy,2302.16,0.0,21.0,375.77,0.083,33,2024,1,26,4
67,ORD100067,P-GRO-004,Grocery,Toor Dal 1kg,South,Bengaluru,SUP-010,,WH-SO-02,190.0,53.0,330.0,,45.06,296.65,5.9,No,No,Winter,Sunny,289.75,0.0,2.0,495.45,0.081,50,2021,1,23,5
68,ORD100068,P-ELE-014,Electronics,Laptop Stand,South,Coimbatore,SUP-039,4.0,WH-SO-04,94.0,13.0,70.0,340.0,10.99,11838.83,5.9,No,No,Winter,Sunny,10164.38,0.0,2.0,355.08,0.13,9,2021,12,8,2
69,ORD100069,P-CLO-013,Clothing,Denim Jeans,East,Ranchi,SUP-006,9.0,WH-EA-04,93.0,18.0,106.0,435.0,15.35,624.54,2.8,No,No,Spring,Cloudy,692.73,0.0,0.0,325.45,0.166,16,2024,3,22,4
70,ORD100070,P-GRO-003,Grocery,Tea Powder 500g,South,Hyderabad,SUP-007,8.0,WH-SO-04,737.0,43.0,227.0,1193.0,35.8,509.39,3.8,Yes,No,Summer,Rainy,462.0,0.0,1.0,315.08,0.251,44,2022,5,15,6
71,ORD100071,P-GRO-001,Grocery,Masala Mix 200g,South,Kochi,SUP-031,7.0,WH-SO-03,1561.0,68.0,337.0,2258.0,66.01,77.93,8.2,No,Yes,Autumn,Stormy,88.0,0.0,0.0,289.67,0.064,74,2022,10,4,1
72,ORD100072,P-BEA-012,Beauty,Herbal Shampoo 200ml,South,Chennai,SUP-012,15.0,WH-SO-02,856.0,27.0,305.0,1075.0,41.68,780.24,6.0,No,No,Winter,Cloudy,765.11,0.0,3.0,581.05,0.049,44,2021,1,23,5
73,ORD100073,P-GRO-014,Grocery,Wheat Flour 5kg,East,Ranchi,SUP-029,7.0,WH-EA-03,179.0,29.0,270.0,1034.0,33.25,398.33,7.4,Yes,No,Autumn,Sunny,437.13,0.0,0.0,352.17,0.154,47,2023,10,11,2
74,ORD100074,P-ELE-011,Electronics,Wireless Earbuds,Central,Jabalpur,SUP-028,5.0,WH-CE-05,155.0,7.0,59.0,242.0,8.18,3174.31,31.8,Yes,No,Summer,Cloudy,3438.98,0.0,0.0,246.32,0.169,18,2021,5,17,0
75,ORD100075,P-GRO-001,Grocery,Tea Powder 500g,North,Jaipur,SUP-008,9.0,WH-NO-02,117.0,34.0,192.0,1058.0,33.68,310.15,30.1,No,No,Winter,Cloudy,334.02,,0.0,305.75,0.146,32,2022,2,2,2
76,ORD100076,P-GRO-010,Grocery,Sunflower Oil 1L,East,Guwahati,SUP-024,6.0,WH-EA-05,379.0,36.0,228.0,1182.0,40.74,406.49,14.6,No,No,Autumn,Sunny,408.0,0.0,1.0,361.05,0.055,51,2022,11,28,0
77,ORD100077,P-FUR-006,Furniture,Dining Chair,North,Chandigarh,SUP-022,10.0,WH-NO-01,28.0,7.0,38.0,165.0,4.79,6856.72,,Yes,No,Winter,Sunny,6201.41,0.0,1.0,462.69,0.012,4,2024,1,30,1
78,ORD100078,P-CLO-014,Clothing,Denim Jeans,South,Chennai,SUP-004,,WH-SO-01,533.0,27.0,178.0,584.0,23.97,1978.2,8.4,Yes,No,Winter,Sunny,,0.0,2.0,503.76,0.126,27,2022,12,29,3
79,ORD100079,P-BEA-013,Beauty,Hair Oil 250ml,West,Ahmedabad,SUP-031,3.0,WH-WE-02,306.0,32.0,233.0,994.0,32.53,1044.46,19.7,No,No,Winter,Sunny,1018.18,0.0,0.0,277.99,0.103,39,2024,12,6,4
80,ORD100080,P-FUR-012,Furniture,Office Chair,North,Kanpur,SUP-035,7.0,WH-NO-01,176.0,8.0,58.0,207.0,7.3,9491.02,15.7,,No,Spring,Rainy,9413.45,0.0,0.0,272.56,0.098,9,2023,2,3,4
81,ORD100081,P-GRO-007,Grocery,Wheat Flour 5kg,East,Kolkata,SUP-038,4.0,WH-EA-05,65.0,24.0,167.0,635.0,21.66,,15.9,No,No,Winter,Sunny,189.15,0.0,1.0,243.73,0.038,20,2022,1,6,3
82,ORD100082,P-BEA-005,Beauty,Herbal Shampoo 200ml,South,Chennai,SUP-004,4.0,WH-SO-02,537.0,66.0,284.0,963.0,39.77,333.86,2.5,No,No,Autumn,Cloudy,326.21,0.0,0.0,358.81,0.129,50,2021,10,6,2
83,ORD100083,P-ELE-013,Electronics,Smartwatch,North,Chandigarh,SUP-008,12.0,WH-NO-01,302.0,15.0,111.0,443.0,13.09,3371.57,,No,No,Winter,Sunny,2583.25,0.0,1.0,442.12,0.062,16,2024,2,20,1
84,ORD100084,P-ELE-002,Electronics,Wireless Earbuds,Central,Indore,SUP-034,5.0,WH-CE-04,70.0,8.0,75.0,220.0,8.54,12623.03,19.0,No,No,Autumn,Sunny,12319.77,0.0,2.0,336.97,0.036,8,2022,11,3,3
85,ORD100085,P-ELE-002,Electronics,Wireless Earbuds,South,Coimbatore,SUP-013,4.0,WH-SO-05,144.0,6.0,75.0,281.0,8.97,3770.07,8.6,No,No,Autumn,Cloudy,3808.01,0.0,2.0,307.82,0.049,9,2023,6,3,5
86,ORD100086,P-BEA-001,Beauty,Sunscreen Lotion,West,Pune,SUP-026,12.0,WH-WE-05,325.0,37.0,271.0,983.0,34.71,543.0,14.7,No,No,Summer,Cloudy,509.03,0.0,4.0,630.98,,29,2022,6,25,5
87,ORD100087,P-CLO-008,Clothing,Kids Winter Jacket,South,Coimbatore,SUP-014,7.0,WH-SO-01,215.0,59.0,260.0,1065.0,36.53,1169.37,8.6,No,No,Winter,Rainy,,1.0,1.0,328.47,0.104,37,2022,2,3,3
88,ORD100088,P-ELE-002,Electronics,LED TV 43in,Central,Bhopal,SUP-009,5.0,WH-CE-04,144.0,6.0,47.0,212.0,6.68,2844.54,1.2,No,No,Summer,Cloudy,2881.54,0.0,1.0,388.74,0.009,6,2023,5,27,5
89,ORD100089,P-CLO-009,Clothing,Formal Shirt,South,Chennai,SUP-025,5.0,WH-SO-02,194.0,22.0,233.0,1009.0,29.94,1351.44,11.5,No,No,Summer,Rainy,1460.94,0.0,2.0,401.86,0.18,28,2022,3,7,0
90,ORD100090,P-ELE-003,Electronics,Bluetooth Speaker,South,Coimbatore,SUP-009,5.0,WH-SO-05,186.0,17.0,83.0,337.0,12.97,13687.32,3.5,Yes,No,Winter,Sunny,14842.13,2.0,0.0,258.36,0.178,20,2024,12,31,1
91,ORD100091,P-FUR-014,Furniture,Dining Chair,West,Ahmedabad,SUP-006,7.0,WH-WE-04,137.0,9.0,63.0,260.0,9.05,5063.34,12.7,Yes,No,Winter,Cloudy,5187.04,0.0,1.0,450.19,0.037,9,2023,12,5,1
92,ORD100092,P-CLO-007,Clothing,Formal Shirt,South,Coimbatore,SUP-022,9.0,WH-SO-04,75.0,13.0,161.0,781.0,25.32,1744.64,9.6,Yes,No,Summer,Sunny,1740.54,0.0,1.0,,0.135,19,2024,4,12,4
93,ORD100093,P-GRO-002,Grocery,Instant Noodles Pack,South,Coimbatore,SUP-008,11.0,WH-SO-05,858.0,41.0,268.0,1157.0,38.74,139.36,10.4,No,No,Spring,Cloudy,143.32,0.0,2.0,418.31,0.034,39,2022,2,20,6
94,ORD100094,P-GRO-011,Grocery,Sunflower Oil 1L,Central,Indore,SUP-008,3.0,WH-CE-05,111.0,30.0,136.0,722.0,,585.81,16.3,No,No,Spring,Cloudy,670.16,0.0,0.0,330.82,0.088,24,2021,2,12,4
95,ORD100095,P-FUR-006,Furniture,Office Chair,East,Bhubaneswar,SUP-032,6.0,WH-EA-01,40.0,2.0,28.0,145.0,4.19,12663.6,21.5,No,No,Summer,Sunny,13171.65,0.0,0.0,339.65,0.125,2,2021,3,11,3
96,ORD100096,P-GRO-004,Grocery,Toor Dal 1kg,West,Nagpur,SUP-022,,WH-WE-04,438.0,64.0,347.0,1474.0,52.64,525.33,22.9,No,No,Autumn,,536.28,0.0,2.0,329.94,0.021,76,2024,6,8,5
97,ORD100097,P-ELE-010,Electronics,Wireless Earbuds,East,Ranchi,SUP-022,7.0,WH-EA-01,37.0,5.0,59.0,198.0,,12231.74,19.2,Yes,No,Summer,Cloudy,13281.6,1.0,2.0,436.53,0.238,5,2024,6,30,6
98,ORD100098,P-ELE-015,Electronics,Laptop Stand,West,Mumbai,SUP-006,9.0,WH-WE-05,86.0,6.0,52.0,199.0,6.3,6533.75,10.4,No,No,Autumn,Sunny,6558.86,0.0,2.0,482.31,0.085,6,2023,9,20,2
99,ORD100099,P-SPO-015,Sports,Badminton Racket,West,Surat,SUP-007,8.0,WH-WE-04,264.0,11.0,95.0,331.0,12.52,3998.57,15.3,No,No,Summer,Cloudy,3725.59,0.0,0.0,360.87,0.104,14,2023,5,11,3
100,ORD100100,P-SPO-007,Sports,Yoga Mat,East,Bhubaneswar,SUP-016,7.0,WH-EA-01,212.0,12.0,49.0,283.0,9.02,3079.75,16.4,No,No,Autumn,Rainy,3192.88,0.0,1.0,313.92,0.089,13,2021,11,2,1
101,ORD100101,P-FUR-013,Furniture,Foldable Bed,South,Bengaluru,SUP-016,2.0,WH-SO-02,15.0,9.0,,202.0,6.76,17748.9,10.8,No,No,Winter,Sunny,17990.77,0.0,,249.64,0.19,10,2024,1,14,6
102,ORD100102,P-GRO-004,Grocery,Basmati Rice 5kg,North,Jaipur,SUP-019,5.0,WH-NO-05,1305.0,31.0,416.0,1550.0,52.54,549.92,7.2,,No,Winter,Cloudy,540.3,0.0,0.0,212.2,0.1,59,2023,1,25,2
103,ORD100103,P-SPO-013,Sports,Badminton Racket,East,Kolkata,SUP-006,1.0,WH-EA-04,213.0,,80.0,385.0,12.0,1719.56,3.0,No,No,Summer,Rainy,1794.36,0.0,1.0,233.68,0.175,12,2023,6,1,3
