Order_ID,Order_Date,Product_ID,Product_Category,Product_Name,Region,City,Supplier_ID,Supplier_Lead_Time_Days,Warehouse_ID,Current_Inventory,Previous_Day_Sales,Previous_7_Days_Sales,Previous_30_Days_Sales,Average_Daily_Sales,Unit_Price,Discount_Percentage,Promotion,Holiday,Season,Weather,Competitor_Price,Stockout_Days,Delivery_Delay_Days,Transportation_Cost,Customer_Return_Rate,Demand_Quantity
ORD100010,2023-04-12,P-GRO-014,Grocery,Wheat Flour 5kg,North,Lucknow,SUP-034,4.0,WH-NO-03,139.0,26.0,238.0,898.0,31.7,389.1,7.3,No,No,Summer,Sunny,384.26,0.0,4.0,419.7,0.072,22
ORD100011,2024-01-10,P-SPO-003,Sports,Cricket Bat,East,Kolkata,SUP-026,4.0,WH-EA-03,101.0,9.0,70.0,305.0,10.37,4874.94,6.8,No,No,Winter,Sunny,4461.56,0.0,0.0,199.16,0.083,11
ORD100012,2022-03-19,P-FUR-014,Furniture,Foldable Bed,North,Lucknow,SUP-011,24.0,WH-NO-03,138.0,9.0,79.0,277.0,8.45,15719.15,26.5,No,No,Summer,Sunny,13401.37,0.0,1.0,597.4,0.107,8
ORD100013,2022-12-15,P-BEA-005,Beauty,Hair Oil 250ml,West,Pune,SUP-026,4.0,WH-WE-04,352.0,29.0,164.0,832.0,28.54,1147.17,19.4,Yes,No,Winter,Cloudy,1093.92,0.0,0.0,281.43,0.117,34
ORD100014,2021-09-29,P-CLO-005,Clothing,Woolen Sweater,North,Lucknow,SUP-001,4.0,WH-NO-01,540.0,25.0,183.0,916.0,27.1,1227.01,19.9,No,No,Autumn,Cloudy,1185.29,0.0,0.0,241.25,0.095,31
ORD100015,2024-03-29,P-GRO-015,Grocery,Tea Powder 500g,South,Kochi,SUP-010,6.0,WH-SO-03,906.0,43.0,322.0,1341.0,43.76,106.65,18.9,No,No,Summer,Cloudy,110.29,0.0,0.0,295.01,0.095,46
ORD100016,2024-06-30,P-CLO-010,Clothing,Denim Jeans,East,Patna,SUP-009,10.0,WH-EA-02,80.0,22.0,121.0,682.0,20.57,392.17,22.5,No,No,Autumn,Cloudy,412.72,0.0,0.0,323.52,0.177,21
ORD100017,2023-12-17,P-ELE-007,Electronics,Power Bank 10000mAh,East,Kolkata,SUP-032,7.0,WH-EA-04,80.0,6.0,50.0,260.0,7.48,14032.93,13.3,No,No,Winter,Rainy,13895.18,0.0,1.0,336.39,0.012,8
ORD100018,2024-04-06,P-BEA-005,Beauty,Herbal Shampoo 200ml,East,Bhubaneswar,SUP-030,6.0,WH-EA-01,458.0,7.0,,547.0,20.05,290.81,8.2,No,No,Summer,,267.75,0.0,0.0,266.58,0.083,19
ORD100019,2024-01-22,P-FUR-007,Furniture,Sofa Cushion Set,South,Chennai,SUP-004,13.0,WH-SO-01,84.0,4.0,32.0,160.0,,14356.89,8.5,,No,Winter,Rainy,13601.21,0.0,2.0,635.66,0.032,6
ORD100020,2024-05-05,P-BEA-012,Beauty,Talcum Powder,Central,Raipur,SUP-037,5.0,WH-CE-03,157.0,20.0,129.0,514.0,15.14,352.14,11.3,Yes,No,Summer,Cloudy,396.96,1.0,2.0,353.86,0.06,23
ORD100021,2022-09-20,P-GRO-003,Grocery,Basmati Rice 5kg,West,Surat,SUP-033,9.0,WH-WE-03,656.0,9.0,297.0,1374.0,41.37,100.86,14.4,Yes,No,Autumn,Sunny,105.94,0.0,0.0,269.88,0.04,49
ORD100022,2021-10-28,P-SPO-003,Sports,Cycling Helmet,West,Mumbai,SUP-018,9.0,WH-WE-03,103.0,,125.0,404.0,13.82,1935.45,0.9,Yes,No,Autumn,,2155.76,0.0,1.0,357.0,0.104,20
ORD100023,2024-11-05,P-SPO-005,Sports,Football,East,Bhubaneswar,SUP-009,3.0,WH-EA-05,280.0,9.0,96.0,247.0,11.36,4283.3,6.5,Yes,No,Autumn,Cloudy,4892.2,0.0,0.0,166.07,0.031,15
ORD100024,2021-01-04,P-BEA-008,Beauty,Lipstick Set,East,Kolkata,SUP-017,3.0,WH-EA-04,557.0,34.0,149.0,1022.0,27.37,274.38,6.3,No,No,Winter,Sunny,259.95,0.0,0.0,106.72,0.11,36
ORD100025,2022-08-16,P-ELE-013,Electronics,LED TV 43in,East,Kolkata,SUP-024,12.0,WH-EA-02,126.0,9.0,72.0,316.0,12.48,11334.61,11.5,Yes,No,Autumn,Rainy,12078.32,0.0,2.0,463.58,,15
ORD100026,2023-11-28,P-CLO-004,Clothing,Women's Kurti,South,Bengaluru,SUP-026,6.0,WH-SO-04,190.0,,143.0,606.0,16.85,926.61,11.5,Yes,No,Autumn,Rainy,859.73,0.0,0.0,350.61,0.092,18
ORD100027,2024-03-04,P-ELE-012,Electronics,Laptop Stand,South,Bengaluru,SUP-014,7.0,WH-SO-03,194.0,7.0,69.0,267.0,10.06,9568.9,5.6,No,No,Summer,Stormy,10359.91,0.0,1.0,374.22,0.07,8
ORD100028,2023-09-29,P-ELE-014,Electronics,Bluetooth Speaker,East,Patna,SUP-005,6.0,WH-EA-02,110.0,7.0,37.0,178.0,6.77,14331.13,,No,No,Autumn,Sunny,15280.23,0.0,0.0,,0.045,7
ORD100029,2022-12-17,P-FUR-007,Furniture,Foldable Bed,North,Kanpur,SUP-025,8.0,WH-NO-01,60.0,4.0,32.0,119.0,3.95,5988.18,12.9,Yes,No,Winter,Sunny,4975.42,0.0,0.0,372.09,0.033,4
ORD100030,2024-09-09,P-BEA-015,Beauty,Lipstick Set,North,Kanpur,SUP-029,10.0,WH-NO-01,342.0,26.0,391.0,1353.0,45.4,954.71,10.3,No,No,Autumn,Sunny,985.47,0.0,2.0,401.71,,39
ORD100031,2021-12-10,P-SPO-014,Sports,Running Shoes,West,Mumbai,SUP-011,10.0,WH-WE-02,234.0,17.0,132.0,564.0,15.43,4714.12,22.0,Yes,No,Winter,Rainy,4391.08,0.0,3.0,320.67,0.049,23
ORD100032,2021-07-27,P-GRO-012,Grocery,Masala Mix 200g,North,Kanpur,SUP-026,15.0,WH-NO-05,856.0,37.0,274.0,1021.0,36.4,574.13,13.0,No,No,Autumn,Cloudy,558.49,0.0,3.0,573.87,0.155,41
ORD100033,2023-07-08,P-GRO-006,Grocery,Tea Powder 500g,East,,SUP-023,4.0,WH-EA-03,452.0,33.0,338.0,1340.0,40.92,449.34,3.9,No,No,Summer,,425.63,0.0,0.0,238.38,0.105,26
ORD100034,2022-04-14,P-CLO-005,Clothing,Women's Kurti,East,Bhubaneswar,SUP-021,9.0,WH-EA-03,578.0,32.0,232.0,969.0,30.73,719.06,9.4,No,No,Summer,Rainy,771.29,0.0,1.0,403.77,0.038,35
ORD100035,2022-11-17,P-ELE-013,Electronics,LED TV 43in,North,Jaipur,SUP-001,7.0,WH-NO-02,40.0,10.0,59.0,270.0,9.88,,36.6,No,No,Autumn,Sunny,12366.21,0.0,2.0,413.22,0.11,7
ORD100036,2022-10-30,P-ELE-007,Electronics,Bluetooth Speaker,West,Ahmedabad,SUP-013,11.0,WH-WE-02,388.0,22.0,154.0,599.0,18.9,1861.49,10.3,No,No,Autumn,Sunny,1671.02,1.0,0.0,365.41,0.035,21
ORD100037,2022-01-21,P-CLO-001,Clothing,Men's Cotton T-Shirt,North,Lucknow,SUP-015,7.0,WH-NO-04,3539.0,23.0,145.0,639.0,21.45,336.96,4.9,No,No,Winter,Rainy,315.19,0.0,1.0,353.76,0.105,22
ORD100038,2024-12-29,P-GRO-011,Grocery,Sunflower Oil 1L,West,Ahmedabad,SUP-034,4.0,WH-WE-01,280.0,61.0,529.0,1986.0,59.18,144.98,31.9,No,No,Winter,Sunny,142.49,0.0,0.0,291.97,0.155,84
ORD100039,2022-07-13,P-FUR-006,Furniture,Office Chair,West,Surat,SUP-034,5.0,WH-WE-04,113.0,8.0,32.0,144.0,4.89,7490.81,5.0,No,No,Summer,Cloudy,7736.65,0.0,0.0,253.75,0.029,6
ORD100040,2023-09-07,P-CLO-015,Clothing,Woolen Sweater,South,Coimbatore,SUP-035,7.0,WH-SO-05,442.0,7.0,120.0,610.0,17.69,1148.05,10.6,No,No,Autumn,Sunny,1257.88,0.0,0.0,348.4,0.048,22
ORD100041,2021-08-22,P-BEA-013,Beauty,Lipstick Set,North,Delhi,SUP-019,8.0,WH-NO-05,464.0,16.0,152.0,810.0,26.0,577.94,24.3,Yes,No,Summer,Cloudy,601.69,0.0,0.0,455.95,0.155,22
ORD100042,2024-12-18,P-FUR-002,Furniture,TV Unit,South,Kochi,SUP-014,3.0,WH-SO-02,150.0,12.0,68.0,231.0,8.74,11665.03,21.0,Yes,No,Winter,Stormy,12209.83,0.0,2.0,336.93,0.042,11
ORD100043,2024-12-13,P-GRO-014,Grocery,Tea Powder 500g,South,Chennai,SUP-020,11.0,WH-SO-05,551.0,22.0,349.0,958.0,38.82,378.75,6.7,No,No,Winter,Sunny,401.13,0.0,0.0,386.71,0.036,56
ORD100044,2021-04-11,P-BEA-015,Beauty,Sunscreen Lotion,South,Kochi,SUP-032,11.0,WH-SO-02,100.0,40.0,250.0,1132.0,31.88,911.83,11.1,Yes,No,Summer,Cloudy,971.45,0.0,1.0,483.35,0.056,57
ORD100045,2023-07-29,P-BEA-012,Beauty,Talcum Powder,Central,Indore,SUP-025,7.0,WH-CE-02,331.0,25.0,159.0,,22.48,661.07,10.1,Yes,No,Autumn,Stormy,715.72,0.0,3.0,492.29,0.078,32
ORD100046,2023-05-19,P-GRO-005,Grocery,Sugar 1kg,North,Delhi,SUP-025,6.0,WH-NO-02,816.0,22.0,234.0,1069.0,35.85,479.66,9.7,Yes,No,Summer,Sunny,575.79,0.0,0.0,282.71,0.022,56
ORD100047,2021-09-11,P-GRO-011,Grocery,Sunflower Oil 1L,West,,SUP-018,9.0,WH-WE-01,882.0,69.0,334.0,1626.0,52.84,379.29,13.5,Yes,No,Autumn,Cloudy,403.59,0.0,0.0,230.66,0.061,94
ORD100048,2024-01-30,P-FUR-014,Furniture,Wooden Bookshelf,North,Chandigarh,SUP-028,5.0,WH-NO-02,126.0,7.0,41.0,148.0,4.94,18295.41,24.8,No,No,Winter,Rainy,18714.75,0.0,,218.63,0.01,7
ORD100049,2024-01-23,P-ELE-013,Electronics,Laptop Stand,Central,Indore,SUP-035,8.0,WH-CE-05,238.0,10.0,64.0,306.0,10.08,7882.87,2.6,,No,Winter,Sunny,7589.49,0.0,0.0,332.71,0.127,16
ORD100050,2024-05-18,P-ELE-007,Electronics,Wireless Earbuds,North,Delhi,SUP-027,5.0,WH-NO-04,73.0,8.0,40.0,209.0,8.31,13519.13,18.9,No,No,Summer,Sunny,13854.34,1.0,0.0,250.22,0.02,6
ORD100051,2023-05-30,P-ELE-011,Electronics,Smartphone Charger,South,Bengaluru,SUP-017,5.0,WH-SO-02,221.0,15.0,112.0,363.0,11.06,2378.52,5.2,No,No,Summer,Sunny,2598.08,0.0,1.0,266.7,0.027,20
ORD100052,2023-10-31,P-BEA-006,Beauty,Face Wash 100ml,East,Kolkata,SUP-034,8.0,WH-EA-02,413.0,11.0,168.0,701.0,22.94,543.6,20.8,No,No,Autumn,Sunny,490.62,0.0,1.0,380.36,0.087,23
ORD100053,2023-11-22,P-FUR-004,Furniture,Sofa Cushion Set,North,Kanpur,SUP-038,10.0,WH-NO-02,148.0,7.0,39.0,190.0,5.9,3562.43,24.4,No,No,,,3921.12,0.0,4.0,469.33,0.078,8
ORD100054,2024-01-27,P-FUR-011,Furniture,Plastic Storage Rack,West,Mumbai,SUP-032,6.0,WH-WE-01,32.0,2.0,18.0,81.0,2.84,8133.92,25.6,No,No,Winter,Sunny,7856.23,0.0,,368.8,0.133,1
ORD100055,2023-05-04,P-BEA-007,Beauty,Face Wash 100ml,South,Bengaluru,SUP-036,13.0,WH-SO-01,114.0,26.0,167.0,661.0,22.05,,20.4,No,No,Summer,Sunny,1065.86,0.0,1.0,390.75,0.043,21
ORD100056,2023-12-24,P-CLO-004,Clothing,Cotton Saree,East,Ranchi,SUP-011,3.0,WH-EA-05,80.0,14.0,84.0,373.0,14.52,810.43,34.5,No,No,Winter,Rainy,844.26,0.0,0.0,245.81,0.08,14
ORD100057,2021-03-30,P-CLO-010,Clothing,Cotton Saree,East,Ranchi,SUP-017,9.0,WH-EA-04,278.0,19.0,124.0,651.0,19.52,479.38,3.1,No,No,Summer,Sunny,459.18,0.0,20.0,433.55,0.186,20
ORD100058,2023-06-22,P-ELE-005,Electronics,Laptop Stand,East,Patna,SUP-010,5.0,WH-EA-04,142.0,11.0,53.0,212.0,7.14,1825.61,26.6,Yes,No,Summer,Cloudy,1892.62,0.0,0.0,251.21,0.044,12
ORD100059,2021-10-24,P-ELE-009,Electronics,Smartphone Charger,North,Jaipur,SUP-015,12.0,WH-NO-02,116.0,4.0,46.0,173.0,7.6,12998.6,12.3,No,Yes,Autumn,Sunny,11800.48,0.0,2.0,477.06,0.026,8
ORD100060,2022-08-18,P-FUR-006,Furniture,Dining Chair,North,Chandigarh,SUP-030,27.0,WH-NO-05,206.0,10.0,48.0,241.0,8.31,12584.77,3.9,No,Yes,Autumn,Cloudy,13466.67,0.0,1.0,496.89,0.138,9
ORD100061,2024-01-29,P-CLO-014,Clothing,Women's Kurti,North,Chandigarh,SUP-028,6.0,WH-NO-01,449.0,20.0,134.0,650.0,20.85,1893.17,11.1,No,No,Winter,Sunny,1922.85,0.0,1.0,329.39,,27
ORD100062,2021-06-16,P-CLO-013,Clothing,Kids Winter Jacket,South,Chennai,SUP-001,2.0,WH-SO-05,501.0,21.0,137.0,705.0,20.48,2303.3,4.8,,No,Summer,Sunny,2302.62,0.0,0.0,277.88,0.051,25
ORD100063,2024-01-08,P-BEA-008,Beauty,Sunscreen Lotion,North,Jaipur,SUP-031,6.0,WH-NO-03,153.0,37.0,201.0,764.0,29.8,575.36,19.1,No,,Winter,Stormy,588.0,0.0,,381.76,0.052,26
ORD100064,2022-01-15,P-FUR-011,Furniture,Office Chair,Central,Jabalpur,SUP-008,5.0,WH-CE-02,,6.0,35.0,177.0,5.21,7504.1,,No,No,Winter,Rainy,7492.0,0.0,2.0,382.61,,5
ORD100065,2024-01-07,P-CLO-003,Clothing,Formal Shirt,East,Guwahati,SUP-008,9.0,WH-EA-04,727.0,37.0,225.0,991.0,30.82,1646.71,13.3,Yes,No,Winter,Cloudy,1704.88,1.0,0.0,366.63,0.051,66
ORD100066,2024-01-26,P-CLO-015,Clothing,Men's Cotton T-Shirt,East,Ranchi,SUP-022,7.0,WH-EA-03,314.0,22.0,183.0,838.0,29.24,2340.98,5.5,,Yes,Winter,Cloudy,2302.16,0.0,21.0,375.77,0.083,33
ORD100067,2021-01-23,P-GRO-004,Grocery,Toor Dal 1kg,South,Bengaluru,SUP-010,,WH-SO-02,190.0,53.0,330.0,,45.06,296.65,5.9,No,No,Winter,Sunny,289.75,0.0,2.0,495.45,0.081,50
ORD100068,2021-12-08,P-ELE-014,Electronics,Laptop Stand,South,Coimbatore,SUP-039,4.0,WH-SO-04,94.0,13.0,70.0,340.0,10.99,11838.83,5.9,No,No,Winter,Sunny,10164.38,0.0,2.0,355.08,0.13,9
ORD100069,2024-03-22,P-CLO-013,Clothing,Denim Jeans,East,Ranchi,SUP-006,9.0,WH-EA-04,93.0,18.0,106.0,435.0,15.35,624.54,2.8,No,No,Spring,Cloudy,692.73,0.0,0.0,325.45,0.166,16
ORD100070,2022-05-15,P-GRO-003,Grocery,Tea Powder 500g,South,Hyderabad,SUP-007,8.0,WH-SO-04,737.0,43.0,227.0,1193.0,35.8,509.39,3.8,Yes,No,Summer,Rainy,462.0,0.0,1.0,315.08,0.251,44
ORD100071,2022-10-04,P-GRO-001,Grocery,Masala Mix 200g,South,Kochi,SUP-031,7.0,WH-SO-03,1561.0,68.0,337.0,2258.0,66.01,77.93,8.2,No,Yes,Autumn,Stormy,88.0,0.0,0.0,289.67,0.064,74
ORD100072,2021-01-23,P-BEA-012,Beauty,Herbal Shampoo 200ml,South,Chennai,SUP-012,15.0,WH-SO-02,856.0,27.0,305.0,1075.0,41.68,780.24,6.0,No,No,Winter,Cloudy,765.11,0.0,3.0,581.05,0.049,44
ORD100073,2023-10-11,P-GRO-014,Grocery,Wheat Flour 5kg,East,Ranchi,SUP-029,7.0,WH-EA-03,179.0,29.0,270.0,1034.0,33.25,398.33,7.4,Yes,No,Autumn,Sunny,437.13,0.0,0.0,352.17,0.154,47
ORD100074,2021-05-17,P-ELE-011,Electronics,Wireless Earbuds,Central,Jabalpur,SUP-028,5.0,WH-CE-05,155.0,7.0,59.0,242.0,8.18,3174.31,31.8,Yes,No,Summer,Cloudy,3438.98,0.0,0.0,246.32,0.169,18
ORD100075,2022-02-02,P-GRO-001,Grocery,Tea Powder 500g,North,Jaipur,SUP-008,9.0,WH-NO-02,117.0,34.0,192.0,1058.0,33.68,310.15,30.1,No,No,Winter,Cloudy,334.02,,0.0,305.75,0.146,32
ORD100076,2022-11-28,P-GRO-010,Grocery,Sunflower Oil 1L,East,Guwahati,SUP-024,6.0,WH-EA-05,379.0,36.0,228.0,1182.0,40.74,406.49,14.6,No,No,Autumn,Sunny,408.0,0.0,1.0,361.05,0.055,51
ORD100077,2024-01-30,P-FUR-006,Furniture,Dining Chair,North,Chandigarh,SUP-022,10.0,WH-NO-01,28.0,7.0,38.0,165.0,4.79,6856.72,,Yes,No,Winter,Sunny,6201.41,0.0,1.0,462.69,0.012,4
ORD100078,2022-12-29,P-CLO-014,Clothing,Denim Jeans,South,Chennai,SUP-004,,WH-SO-01,533.0,27.0,178.0,584.0,23.97,1978.2,8.4,Yes,No,Winter,Sunny,,0.0,2.0,503.76,0.126,27
ORD100079,2024-12-06,P-BEA-013,Beauty,Hair Oil 250ml,West,Ahmedabad,SUP-031,3.0,WH-WE-02,306.0,32.0,233.0,994.0,32.53,1044.46,19.7,No,No,Winter,Sunny,1018.18,0.0,0.0,277.99,0.103,39
ORD100080,2023-02-03,P-FUR-012,Furniture,Office Chair,North,Kanpur,SUP-035,7.0,WH-NO-01,176.0,8.0,58.0,207.0,7.3,9491.02,15.7,,No,Spring,Rainy,9413.45,0.0,0.0,272.56,0.098,9
ORD100081,2022-01-06,P-GRO-007,Grocery,Wheat Flour 5kg,East,Kolkata,SUP-038,4.0,WH-EA-05,65.0,24.0,167.0,635.0,21.66,,15.9,No,No,Winter,Sunny,189.15,0.0,1.0,243.73,0.038,20
ORD100082,2021-10-06,P-BEA-005,Beauty,Herbal Shampoo 200ml,South,Chennai,SUP-004,4.0,WH-SO-02,537.0,66.0,284.0,963.0,39.77,333.86,2.5,No,No,Autumn,Cloudy,326.21,0.0,0.0,358.81,0.129,50
ORD100083,2024-02-20,P-ELE-013,Electronics,Smartwatch,North,Chandigarh,SUP-008,12.0,WH-NO-01,302.0,15.0,111.0,443.0,13.09,3371.57,,No,No,Winter,Sunny,2583.25,0.0,1.0,442.12,0.062,16
ORD100084,2022-11-03,P-ELE-002,Electronics,Wireless Earbuds,Central,Indore,SUP-034,5.0,WH-CE-04,70.0,8.0,75.0,220.0,8.54,12623.03,19.0,No,No,Autumn,Sunny,12319.77,0.0,2.0,336.97,0.036,8
ORD100085,2023-06-03,P-ELE-002,Electronics,Wireless Earbuds,South,Coimbatore,SUP-013,4.0,WH-SO-05,144.0,6.0,75.0,281.0,8.97,3770.07,8.6,No,No,Autumn,Cloudy,3808.01,0.0,2.0,307.82,0.049,9
ORD100086,2022-06-25,P-BEA-001,Beauty,Sunscreen Lotion,West,Pune,SUP-026,12.0,WH-WE-05,325.0,37.0,271.0,983.0,34.71,543.0,14.7,No,No,Summer,Cloudy,509.03,0.0,4.0,630.98,,29
ORD100087,2022-02-03,P-CLO-008,Clothing,Kids Winter Jacket,South,Coimbatore,SUP-014,7.0,WH-SO-01,215.0,59.0,260.0,1065.0,36.53,1169.37,8.6,No,No,Winter,Rainy,,1.0,1.0,328.47,0.104,37
ORD100088,2023-05-27,P-ELE-002,Electronics,LED TV 43in,Central,Bhopal,SUP-009,5.0,WH-CE-04,144.0,6.0,47.0,212.0,6.68,2844.54,1.2,No,No,Summer,Cloudy,2881.54,0.0,1.0,388.74,0.009,6
ORD100089,2022-03-07,P-CLO-009,Clothing,Formal Shirt,South,Chennai,SUP-025,5.0,WH-SO-02,194.0,22.0,233.0,1009.0,29.94,1351.44,11.5,No,No,Summer,Rainy,1460.94,0.0,2.0,401.86,0.18,28
ORD100090,2024-12-31,P-ELE-003,Electronics,Bluetooth Speaker,South,Coimbatore,SUP-009,5.0,WH-SO-05,186.0,17.0,83.0,337.0,12.97,13687.32,3.5,Yes,No,Winter,Sunny,14842.13,2.0,0.0,258.36,0.178,20
ORD100091,2023-12-05,P-FUR-014,Furniture,Dining Chair,West,Ahmedabad,SUP-006,7.0,WH-WE-04,137.0,9.0,63.0,260.0,9.05,5063.34,12.7,Yes,No,Winter,Cloudy,5187.04,0.0,1.0,450.19,0.037,9
ORD100092,2024-04-12,P-CLO-007,Clothing,Formal Shirt,South,Coimbatore,SUP-022,9.0,WH-SO-04,75.0,13.0,161.0,781.0,25.32,1744.64,9.6,Yes,No,Summer,Sunny,1740.54,0.0,1.0,,0.135,19
ORD100093,2022-02-20,P-GRO-002,Grocery,Instant Noodles Pack,South,Coimbatore,SUP-008,11.0,WH-SO-05,858.0,41.0,268.0,1157.0,38.74,139.36,10.4,No,No,Spring,Cloudy,143.32,0.0,2.0,418.31,0.034,39
ORD100094,2021-02-12,P-GRO-011,Grocery,Sunflower Oil 1L,Central,Indore,SUP-008,3.0,WH-CE-05,111.0,30.0,136.0,722.0,,585.81,16.3,No,No,Spring,Cloudy,670.16,0.0,0.0,330.82,0.088,24
ORD100095,2021-03-11,P-FUR-006,Furniture,Office Chair,East,Bhubaneswar,SUP-032,6.0,WH-EA-01,40.0,2.0,28.0,145.0,4.19,12663.6,21.5,No,No,Summer,Sunny,13171.65,0.0,0.0,339.65,0.125,2
ORD100096,2024-06-08,P-GRO-004,Grocery,Toor Dal 1kg,West,Nagpur,SUP-022,,WH-WE-04,438.0,64.0,347.0,1474.0,52.64,525.33,22.9,No,No,Autumn,,536.28,0.0,2.0,329.94,0.021,76
ORD100097,2024-06-30,P-ELE-010,Electronics,Wireless Earbuds,East,Ranchi,SUP-022,7.0,WH-EA-01,37.0,5.0,59.0,198.0,,12231.74,19.2,Yes,No,Summer,Cloudy,13281.6,1.0,2.0,436.53,0.238,5
ORD100098,2023-09-20,P-ELE-015,Electronics,Laptop Stand,West,Mumbai,SUP-006,9.0,WH-WE-05,86.0,6.0,52.0,199.0,6.3,6533.75,10.4,No,No,Autumn,Sunny,6558.86,0.0,2.0,482.31,0.085,6
ORD100099,2023-05-11,P-SPO-015,Sports,Badminton Racket,West,Surat,SUP-007,8.0,WH-WE-04,264.0,11.0,95.0,331.0,12.52,3998.57,15.3,No,No,Summer,Cloudy,3725.59,0.0,0.0,360.87,0.104,14
ORD100100,2021-11-02,P-SPO-007,Sports,Yoga Mat,East,Bhubaneswar,SUP-016,7.0,WH-EA-01,212.0,12.0,49.0,283.0,9.02,3079.75,16.4,No,No,Autumn,Rainy,3192.88,0.0,1.0,313.92,0.089,13
ORD100101,2024-01-14,P-FUR-013,Furniture,Foldable Bed,South,Bengaluru,SUP-016,2.0,WH-SO-02,15.0,9.0,,202.0,6.76,17748.9,10.8,No,No,Winter,Sunny,17990.77,0.0,,249.64,0.19,10
ORD100102,2023-01-25,P-GRO-004,Grocery,Basmati Rice 5kg,North,Jaipur,SUP-019,5.0,WH-NO-05,1305.0,31.0,416.0,1550.0,52.54,549.92,7.2,,No,Winter,Cloudy,540.3,0.0,0.0,212.2,0.1,59
ORD100103,2023-06-01,P-SPO-013,Sports,Badminton Racket,East,Kolkata,SUP-006,1.0,WH-EA-04,213.0,,80.0,385.0,12.0,1719.56,3.0,No,No,Summer,Rainy,1794.36,0.0,1.0,233.68,0.175,12
ORD100104,2021-02-05,P-BEA-015,Beauty,Talcum Powder,West,Pune,SUP-036,9.0,WH-WE-02,233.0,11.0,157.0,574.0,20.12,259.4,13.7,Yes,No,Winter,Sunny,221.79,0.0,0.0,316.14,0.154,17
ORD100105,2023-01-25,P-FUR-008,Furniture,Sofa Cushion Set,South,Coimbatore,SUP-015,5.0,WH-SO-05,87.0,6.0,46.0,230.0,5.76,18349.0,2.8,No,No,Winter,Sunny,17555.36,0.0,1.0,364.8,0.067,9
ORD100106,2023-10-11,P-CLO-008,Clothing,Kids Winter Jacket,North,Kanpur,SUP-033,12.0,WH-NO-04,201.0,5.0,85.0,467.0,16.05,2012.97,38.4,No,No,Autumn,Cloudy,1871.47,0.0,0.0,436.69,0.052,11
ORD100107,2024-01-30,P-GRO-009,Grocery,Tea Powder 500g,South,Hyderabad,SUP-017,10.0,WH-SO-01,2846.0,35.0,343.0,1190.0,42.87,472.82,7.6,Yes,,Winter,Cloudy,443.51,0.0,1.0,309.14,0.097,44
